Filename,date,N_detected,row,include,omit_last,use,notes
KS0282A_Num17_08-31-16_19-29-33.508-1,8_31_16,4,B,"0,1,2,3",0,0,a couple whisks around 750
KS0282A_Num23_08-31-16_19-30-10.828-1,8_31_16,4,B,"0,1,2,3",0,1,whisks 0-1500 and 1750-2500
KS0282A_Num156_08-31-16_19-43-57.489-1,8_31_16,4,B,"0,1,2,3",0,0,sparse
KS0282A_Num157_08-31-16_19-44-03.739-1,8_31_16,4,B,"0,1,2,3",0,0,sparse
KS0286A_Num252_09-09-16_20-13-41.487-1,9_09_16,3,B,"0,1,2",0,0,sparse
KS0286A_Num264_09-09-16_20-14-56.117-1,9_09_16,3,B,"0,1,2",0,0,sparse
KS0286A_Num649_09-09-16_20-54-47.931-1,9_09_16,3,B,"0,1,2",0,0,whisks after ~900
KS0286A_Num650_09-09-16_20-54-54.201-1,9_09_16,3,B,"0,1,2",0,1,whisks throughout
KS0286A_Num651_09-09-16_20-55-00.411-1,9_09_16,3,B,"0,1,2",0,0,whisks throughout
KS0286A_Num652_09-09-16_20-55-06.601-1,9_09_16,3,B,"0,1,2",0,0,whisks throughout
KS0355B_Num40_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,sparse
KS0355B_Num43_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,sparse
KS0355B_Num44_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,whisks after ~1500
KS0355B_Num45_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,whisks throughout
KS0355B_Num46_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,whisks throughout
KS0355B_Num47_03-25-17-1,3_25_17,5,C,"0,1,2,3,4",1,0,whisks throughout
KS0422C_Num1_02-09-18_16-26-29-1,2_09_18,5,C,"0,1,2,3,4",1,0,whisks after ~1400
KS0422C_Num2_02-09-18_16-26-36-1,2_09_18,5,C,"0,1,2,3,4",1,0,whisks throughout
KS0422C_Num3_02-09-18_16-26-42-1,2_09_18,5,C,"0,1,2,3,4",1,1,whisks throughout. Use
KS0422C_Num34_02-09-18_16-29-59-1,2_09_18,5,C,"0,1,2,3,4",1,0,sparse
KS0422C_Num35_02-09-18_16-30-06-1,2_09_18,5,C,"0,1,2,3,4",1,0,sparse
KS0422C_Num47_02-09-18_16-31-22-1,2_09_18,5,C,"0,1,2,3,4",1,1,whisks throughout. Use
